17316	2
2	228	8660
2	228	8661
2	229	8660
2	229	8661
2	230	8660
2	230	8661
2	231	8660
2	231	8661
2	232	8660
2	232	8661
2	233	8660
2	233	8661
2	234	8660
2	234	8661
2	235	8660
2	235	8661
2	236	8660
2	236	8661
2	237	8660
2	237	8661
2	238	8660
2	238	8661
2	239	8660
2	239	8661
2	240	8660
2	240	8661
2	241	8660
2	241	8661
2	242	8660
2	242	8661
2	243	8660
2	243	8661
2	244	8660
2	244	8661
2	245	8660
2	245	8661
2	246	8660
2	246	8661
2	247	8660
2	247	8661
2	248	8660
2	248	8661
2	249	8660
2	249	8661
2	250	8660
2	250	8661
2	251	8660
2	251	8661
2	252	8660
2	252	8661
2	253	8660
2	253	8661
2	254	8660
2	254	8661
2	255	8660
2	255	8661
2	256	8660
2	256	8661
2	257	8660
2	257	8661
2	258	8660
2	258	8661
2	259	8660
2	259	8661
2	260	8660
2	260	8661
2	261	8660
2	261	8661
2	262	8660
2	262	8661
2	263	8660
2	263	8661
2	264	8660
2	264	8661
2	265	8660
2	265	8661
2	266	8660
2	266	8661
2	267	8660
2	267	8661
2	268	8660
2	268	8661
2	269	8660
2	269	8661
2	270	8660
2	270	8661
2	271	8660
2	271	8661
2	272	8660
2	272	8661
2	273	8660
2	273	8661
2	274	8660
2	274	8661
2	275	8660
2	275	8661
2	276	8660
2	276	8661
2	277	8659
2	277	8665
2	278	8659
2	278	8665
2	279	8659
2	279	8665
2	280	8659
2	280	8665
2	281	8659
2	281	8665
2	282	8659
2	282	8665
2	283	8659
2	283	8665
2	284	8659
2	284	8665
2	285	8659
2	285	8665
2	286	8659
2	286	8665
2	287	8659
2	287	8665
2	288	8659
2	288	8665
2	289	8659
2	289	8665
2	290	8659
2	290	8665
2	291	8659
2	291	8665
2	292	8659
2	292	8665
2	293	8659
2	293	8665
2	294	8659
2	294	8665
2	295	8659
2	295	8665
2	296	8659
2	296	8665
2	297	8659
2	297	8665
2	298	8659
2	298	8665
2	299	8659
2	299	8665
2	300	8659
2	300	8665
2	301	8659
2	301	8665
2	302	8659
2	302	8665
2	303	8659
2	303	8665
2	304	8659
2	304	8665
2	305	8659
2	305	8665
2	306	8659
2	306	8665
2	307	8659
2	307	8665
2	308	8659
2	308	8665
2	309	8659
2	309	8665
2	310	8659
2	310	8665
2	311	8659
2	311	8665
2	312	8659
2	312	8665
2	313	8659
2	313	8665
2	314	8659
2	314	8665
2	315	8659
2	315	8665
2	316	8659
2	316	8665
2	317	8659
2	317	8665
2	318	8659
2	318	8665
2	319	8659
2	319	8665
2	320	8659
2	320	8665
2	321	8659
2	321	8665
2	322	8659
2	322	8665
2	323	8659
2	323	8665
2	324	8659
2	324	8665
2	325	8659
2	325	8665
2	326	8659
2	326	8665
2	327	8659
2	327	8665
2	328	8659
2	328	8665
2	329	8659
2	329	8665
2	330	8659
2	330	8665
2	331	8659
2	331	8665
2	332	8659
2	332	8665
2	333	8659
2	333	8665
2	334	8659
2	334	8665
2	335	8659
2	335	8665
2	336	8659
2	336	8665
2	337	8659
2	337	8665
2	338	8659
2	338	8665
2	339	8659
2	339	8665
2	340	8659
2	340	8665
2	341	8659
2	341	8665
2	342	8659
2	342	8665
2	343	8659
2	343	8665
2	344	8659
2	344	8665
2	345	8659
2	345	8665
2	346	8659
2	346	8665
2	347	8659
2	347	8665
2	348	8659
2	348	8665
2	349	8659
2	349	8665
2	350	8659
2	350	8665
2	351	8659
2	351	8665
2	352	8659
2	352	8665
2	353	8659
2	353	8665
2	354	8659
2	354	8665
2	355	8659
2	355	8665
2	356	8659
2	356	8665
2	357	8659
2	357	8665
2	358	8659
2	358	8665
2	359	8659
2	359	8665
2	360	8659
2	360	8665
2	361	8659
2	361	8665
2	362	8659
2	362	8665
2	363	8659
2	363	8665
2	364	8659
2	364	8665
2	365	8659
2	365	8665
2	366	8659
2	366	8665
2	367	8659
2	367	8665
2	368	8659
2	368	8665
2	369	8659
2	369	8665
2	370	8659
2	370	8665
2	371	8659
2	371	8665
2	372	8659
2	372	8665
2	373	8659
2	373	8665
2	374	8659
2	374	8665
